expense_ratio,risk_level,cluster,scheme_code
0.557312253,1,2,100669
0.505928854,1,2,100678
0.687747036,1,7,100682
0.735177866,1,7,100684
0.031620553,0.2,4,100685
0.351778656,1,8,100711
0.359683794,1,8,100712
0.371541502,0.4,3,100723
0.367588933,1,8,100724
0.466403162,1,2,100725
0.055335968,0.4,1,100739
0.387351779,1,8,100740
0.055335968,1,0,100741
0.003952569,0,9,100742
0.450592885,0.6,3,100748
0.391304348,0.8,8,100749
0.106719368,0.4,1,100750
0.383399209,1,8,100751
0.106719368,0.2,4,100800
0.150197628,0.4,1,100801
0.355731225,0.6,6,100802
0.434782609,1,2,100803
0.063241107,0,9,145963
